Algoritmo,Quantum,N_Processos,Rodada,TME
fifo,20,100,23,120706.970000
fifo,20,100,24,131959.310000
fifo,20,100,25,142812.900000
fifo,20,100,26,135693.160000
fifo,20,100,27,123236.420000
fifo,20,100,28,133369.830000
fifo,20,100,29,133004.340000
fifo,20,100,30,120988.940000
fifo,30,10,1,7440.700000
fifo,30,10,2,8911.400000
fifo,30,10,3,8784.400000
fifo,30,10,4,7883.800000
fifo,30,10,5,6476.600000
fifo,30,10,6,10127.200000
fifo,30,10,7,7398.400000
fifo,30,10,8,10851.100000
fifo,30,10,9,9637.500000
fifo,30,10,10,8389.300000
fifo,30,10,11,7887.900000
fifo,30,10,12,11879.400000
fifo,30,10,13,12580.500000
fifo,30,10,14,7750.900000
fifo,30,10,15,6471.600000
fifo,30,10,16,13617.500000
fifo,30,10,17,5737.300000
fifo,30,10,18,8453.400000
fifo,30,10,19,9039.200000
fifo,30,10,20,10541.800000
fifo,30,10,21,7885.700000
fifo,30,10,22,10956.300000
fifo,30,10,23,13209.500000
fifo,30,10,24,10287.400000
fifo,30,10,25,9155.500000
fifo,30,10,26,10936.600000
fifo,30,10,27,7184.500000
fifo,30,10,28,6019.600000
fifo,30,10,29,11456.000000
fifo,30,10,30,4574.600000
fifo,30,20,1,19060.600000
fifo,30,20,2,22555.250000
fifo,30,20,3,19595.750000
fifo,30,20,4,19007.250000
fifo,30,20,5,15137.750000
fifo,30,20,6,22576.750000
fifo,30,20,7,17397.050000
fifo,30,20,8,13932.100000
fifo,30,20,9,21776.400000
fifo,30,20,10,20843.450000
fifo,30,20,11,10739.350000
fifo,30,20,12,26557.700000
fifo,30,20,13,16602.900000
fifo,30,20,14,24626.500000
fifo,30,20,15,12256.050000
fifo,30,20,16,24458.050000
fifo,30,20,17,16735.000000
fifo,30,20,18,21307.200000
fifo,30,20,19,15981.900000
fifo,30,20,20,14959.600000
fifo,30,20,21,30894.600000
fifo,30,20,22,17411.600000
fifo,30,20,23,14798.700000
fifo,30,20,24,16603.150000
fifo,30,20,25,18317.350000
fifo,30,20,26,16043.250000
fifo,30,20,27,24178.550000
fifo,30,20,28,26020.950000
fifo,30,20,29,20791.350000
fifo,30,20,30,23213.550000
fifo,30,30,1,19738.666667
fifo,30,30,2,26857.433333
fifo,30,30,3,24412.666667
fifo,30,30,4,21885.666667
fifo,30,30,5,21659.566667
fifo,30,30,6,28779.433333
fifo,30,30,7,26841.100000
fifo,30,30,8,19640.666667
fifo,30,30,9,26523.433333
fifo,30,30,10,30753.733333
fifo,30,30,11,23795.200000
fifo,30,30,12,23565.466667
fifo,30,30,13,21801.200000
fifo,30,30,14,32437.333333
fifo,30,30,15,26950.266667
fifo,30,30,16,23092.766667
fifo,30,30,17,24973.033333
fifo,30,30,18,30411.500000
fifo,30,30,19,21999.566667
fifo,30,30,20,25903.466667
fifo,30,30,21,35554.500000
fifo,30,30,22,31499.200000
fifo,30,30,23,19472.133333
fifo,30,30,24,18354.266667
fifo,30,30,25,31577.900000
fifo,30,30,26,30939.766667
fifo,30,30,27,26399.500000
fifo,30,30,28,21531.533333
fifo,30,30,29,31875.133333
fifo,30,30,30,32248.966667
fifo,30,40,1,38533.325000
fifo,30,40,2,35330.325000
fifo,30,40,3,44787.000000
fifo,30,40,4,33884.975000
fifo,30,40,5,39922.000000
fifo,30,40,6,38137.050000
fifo,30,40,7,32008.925000
fifo,30,40,8,44231.775000
fifo,30,40,9,35808.200000
fifo,30,40,10,30205.575000
fifo,30,40,11,33480.500000
fifo,30,40,12,22342.425000
fifo,30,40,13,35078.175000
fifo,30,40,14,37104.725000
fifo,30,40,15,34615.150000
fifo,30,40,16,30163.800000
fifo,30,40,17,30624.675000
fifo,30,40,18,37283.975000
fifo,30,40,19,28296.150000
fifo,30,40,20,29956.050000
fifo,30,40,21,30868.425000
fifo,30,40,22,27329.275000
fifo,30,40,23,29854.650000
fifo,30,40,24,35007.525000
fifo,30,40,25,32040.350000
fifo,30,40,26,33596.850000
fifo,30,40,27,41414.275000
fifo,30,40,28,39918.000000
fifo,30,40,29,44225.200000
fifo,30,40,30,29534.725000
fifo,30,50,1,51073.840000
fifo,30,50,2,49870.520000
fifo,30,50,3,44634.400000
fifo,30,50,4,46671.300000
fifo,30,50,5,49610.060000
fifo,30,50,6,41768.000000
fifo,30,50,7,31357.360000
fifo,30,50,8,44991.520000
fifo,30,50,9,40075.860000
fifo,30,50,10,45292.740000
fifo,30,50,11,39414.400000
fifo,30,50,12,38670.200000
fifo,30,50,13,46897.040000
fifo,30,50,14,37571.300000
fifo,30,50,15,52522.580000
fifo,30,50,16,51545.060000
fifo,30,50,17,48389.140000
fifo,30,50,18,40690.840000
fifo,30,50,19,38413.300000
fifo,30,50,20,49311.860000
fifo,30,50,21,53228.240000
fifo,30,50,22,46216.220000
fifo,30,50,23,47628.560000
fifo,30,50,24,50712.420000
fifo,30,50,25,38600.560000
fifo,30,50,26,45839.560000
fifo,30,50,27,44237.900000
fifo,30,50,28,42302.880000
fifo,30,50,29,52747.720000
fifo,30,50,30,54468.880000
fifo,30,60,1,45880.883333
fifo,30,60,2,56342.250000
fifo,30,60,3,61538.133333
fifo,30,60,4,46182.883333
fifo,30,60,5,51218.500000
fifo,30,60,6,48043.500000
fifo,30,60,7,67706.133333
fifo,30,60,8,45941.616667
fifo,30,60,9,45933.783333
fifo,30,60,10,45631.733333
